asteroid_number,family_name,family_id,catalog_source,population,reported_family_member_count,is_primary
2,Pallas,P25-5001,Proper25_2026,main_belt,515,true
3,Juno,P25-2001,Proper25_2026,main_belt,16373,true
4,Vesta,P25-1001,Proper25_2026,main_belt,27121,true
6,Hebe,P25-1018,Proper25_2026,main_belt,112,true
8,Flora,P25-1002,Proper25_2026,main_belt,23002,true
8,Baptistina,P25-1003,Proper25_2026,main_belt,15922,false
9,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
9,Flora,P25-1002,Proper25_2026,main_belt,23002,false
10,Hygiea,P25-3001,Proper25_2026,main_belt,12750,true
15,Eunomia,P25-2002,Proper25_2026,main_belt,13099,true
20,Massalia,P25-1004,Proper25_2026,main_belt,19967,true
22,SanMarcello,P25-3026,Proper25_2026,main_belt,248,true
24,Themis,P25-3002,Proper25_2026,main_belt,13627,true
25,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
27,Euterpe,P25-1010,Proper25_2026,main_belt,553,true
28,Bellona,P25-2042,Proper25_2026,main_belt,958,true
31,Euphrosyne,P25-6001,Proper25_2026,main_belt,15488,true
40,Harmonia,P25-1019,Proper25_2026,main_belt,160,true
44,Nysa-Polana,P25-1005,Proper25_2026,main_belt,38648,true
45,Eugenia,P25-2043,Proper25_2026,main_belt,246,true
51,Tercidina,P25-1024,Proper25_2026,main_belt,429,true
52,Europa,P25-3057,Proper25_2026,main_belt,250,true
58,Nemesis,P25-2004,Proper25_2026,main_belt,2938,true
62,Themis,P25-3002,Proper25_2026,main_belt,13627,true
63,Vesta,P25-1001,Proper25_2026,main_belt,27121,true
67,Asia,P25-1020,Proper25_2026,main_belt,569,true
71,Gallia,P25-5002,Proper25_2026,main_belt,1346,true
81,Terpsichore,P25-3022,Proper25_2026,main_belt,249,true
84,Klio,P25-1013,Proper25_2026,main_belt,84,true
85,Eunomia,P25-2002,Proper25_2026,main_belt,13099,true
86,Semele,P25-3037,Proper25_2026,main_belt,642,true
87,Sylvia,P25-3003,Proper25_2026,main_belt,1649,true
89,Julia,P25-2040,Proper25_2026,main_belt,1756,true
90,Beagle,P25-3020,Proper25_2026,main_belt,638,true
90,Themis,P25-3002,Proper25_2026,main_belt,13627,false
96,Aegle,P25-3030,Proper25_2026,main_belt,203,true
99,Juno,P25-2001,Proper25_2026,main_belt,16373,true
100,Hygiea,P25-3001,Proper25_2026,main_belt,12750,true
105,Phocaea,P25-4001,Proper25_2026,main_belt,8406,true
106,Dione,P25-3058,Proper25_2026,main_belt,261,true
107,Sylvia,P25-3003,Proper25_2026,main_belt,1649,true
108,Hygiea,P25-3001,Proper25_2026,main_belt,12750,true
110,Padua,P25-2007,Proper25_2026,main_belt,1683,true
115,Thyra,P25-1021,Proper25_2026,main_belt,56,true
126,Velleda,P25-1022,Proper25_2026,main_belt,308,true
128,Nemesis,P25-2004,Proper25_2026,main_belt,2938,true
130,Alauda,P25-6002,Proper25_2026,main_belt,3556,true
135,Hertha,P25-1023,Proper25_2026,main_belt,1473,true
135,Nysa-Polana,P25-1005,Proper25_2026,main_belt,38648,false
142,Nysa-Polana,P25-1005,Proper25_2026,main_belt,38648,true
144,Vibilia,P25-2029,Proper25_2026,main_belt,168,true
145,Adeona,P25-2005,Proper25_2026,main_belt,7382,true
148,Gallia,P25-5002,Proper25_2026,main_belt,1346,true
153,Hilda,PDS2015-001,NASA_PDS_2015_excluded_population,hilda,409,true
158,Koronis2,P25-3021,Proper25_2026,main_belt,3863,true
158,Karin,P25-3010,Proper25_2026,main_belt,3863,false
158,Koronis,P25-3005,Proper25_2026,main_belt,12208,false
159,Hygiea,P25-3001,Proper25_2026,main_belt,12750,true
163,Erigone,P25-1006,Proper25_2026,main_belt,3601,true
166,Adeona,P25-2005,Proper25_2026,main_belt,7382,true
167,Karin,P25-3010,Proper25_2026,main_belt,3863,true
167,Koronis2,P25-3021,Proper25_2026,main_belt,3863,false
167,Koronis,P25-3005,Proper25_2026,main_belt,12208,false
170,Maria,P25-2006,Proper25_2026,main_belt,1683,true
171,Beagle,P25-3020,Proper25_2026,main_belt,638,true
171,Themis,P25-3002,Proper25_2026,main_belt,13627,false
173,Ino,P25-2022,Proper25_2026,main_belt,2411,true
174,Phaedra,P25-3042,Proper25_2026,main_belt,170,true
177,Irma,P25-2044,Proper25_2026,main_belt,411,true
182,Massalia,P25-1004,Proper25_2026,main_belt,19967,true
183,Istria,P25-5009,Proper25_2026,main_belt,301,true
194,Prokne,P25-2045,Proper25_2026,main_belt,176,true
208,Koronis,P25-3005,Proper25_2026,main_belt,12208,true
210,Nemesis,P25-2004,Proper25_2026,main_belt,2938,true
211,Hygiea,P25-3001,Proper25_2026,main_belt,12750,true
221,Eos,P25-3006,Proper25_2026,main_belt,33006,true
222,Themis,P25-3002,Proper25_2026,main_belt,13627,true
223,Themis,P25-3002,Proper25_2026,main_belt,13627,true
237,Coelestina,P25-2046,Proper25_2026,main_belt,104,true
240,Vanadis,P25-2047,Proper25_2026,main_belt,17,true
243,Koronis,P25-3005,Proper25_2026,main_belt,12208,true
244,Baptistina,P25-1003,Proper25_2026,main_belt,15922,true
