proper names,WGSN-id,Designation,HIP,Bayer ID,Simbad spelling,Constellation,Origin,Ethnic-Cultural_Group_or_Language,Reference,Date of Adoption
Krios,10134,HD 240429,,,Krios,Cas,Krios is one of the twelve Titans from Greek mythology. The name was given to a component of a co-moving pair in a 2018 spectroscopy paper and appears culturally well reflected.,Greek,see ASE,3/22/2026
Kronos,10135,HD 240430,,,Kronos,Cas,Kronos is a Greek god. The name was given to a component of a co-moving pair in a 2018 spectroscopy paper and appears culturally well reflected.,Greek,see ASE,3/22/2026
Pherkad Minor,5686,HR 5714,74793,11 UMi,Pherkad Minor,UMi,One of Piazzi's star names following the schema of naming a faint visual neighbour in reference to the visually more striking star in a constellation.,"Arabic, Latin",see ASE,3/22/2026
Pistol Star,10136,V*4647 Sgr,,,Pistol Star,Sgr,A blue supergiant surrounded by a nebula which is the reason for the name.,English,see ASE,3/22/2026
Ping,1674,HR 1654,23685,eps Lep,Ping,Lep,"Píng (?), the Screen in front of a toilet, is a Chinese constellation",Chinese,see ASE,3/22/2026
Bade,1717,HR 1702,24305,mu. Lep,Bade,Lep,"Bade, the Funeral Tower, is an Oceanic constellation name from Bali (Indonesia).",Balinese,see ASE,3/22/2026
Darlugal,2014,HR 1998,27288,zet Lep,Darlugal,Lep,"Derived from Sumerian DAR.LUGAL, The Rooster, an animal first domesticated in China and India, and archaeologically attested in West Asia only since the 2nd millennium BCE for cockfights.",Sumerian,see ASE,3/22/2026
Gaja,1533,HR 1497,21881,tau Tau,Gaja,Tau,"The term ""gaja"" (??) in Sanskrit means ""elephant"". Yet, the constellation ""Gaja(h)"" is not known in India but only in Indonesia. There it is attested in the cultural calendar called Palelintangan where it is found in the intersection between Sunday and the second day of a five-day cycle.",Sanskrit,see ASE,2/22/2026
Naga,5030,HR 5020,64962,gam Hya,Naga,Hya,"Sanskrit ???, n?gá, means “large snake” or ""serpent"". Languages like Iban, Indonesian, Italian, Javanese, Malay, Marano, Portuguese, Tagalog and Yakan borrow the term; Japanese ""naga"" means ""long""; German ""Nagel"" (nail) and English ""naked"" are derived from homophonous Sanskrit ""n?ga"" for gold/ iron/ metal.",Sanskrit,see ASE,2/22/2026
Yuyu,3463,HR 3475,43103,iot Cnc,Yuyu,Cnc,"Yuyu is a word from Javanese, inherited from Old Javanese ""hayuyu"", spoken on the island of Java, Indonesia. It means ""freshwater crab"". The animal can be found in rice fields in Indonesia and the constellation is attested for at least 1300 years.",Javanese,see ASE,2/22/2026
Lumbung,4837,HR 4823,61966,39 Cru,Lumbung,Cru,"The term ""Lumbung"" is inherited from Malay, Proto-Malayo-Polynesian, designating a quickly set up rice barn or granary. The constellation of Lumbung is attested for ~1300 years in the cultural calendar and associated with Wednesday and the third day of an Oceanic market cycle.",Malay,see ASE,2/22/2026
Tonglingxing,2616,HR 2527,33694,,Tonglingxing,Cam,"Tóng Líng (Phoenix Tree Mound, ??) is a traditional Chinese star name at the right wall of the Purple Palace constellation, rarely used, but ~2000 years old. WGSN uses ""Tonglingxing"" to avoid confusion with an asteroid name.",Chinese,see ASE,2/22/2026
Shangwei,2265,HR 2209,29997,,Shangwei,Cam,"Shàng Wèi (The Great Imperial Guard, ??) is the name of the fifth star on the right wall and the sixth star on the left wall of the Z? G?ng (Purple Palace, ??) / Z?w?i Yuán (Purple Forbidden Enclosure, ???), counting northward from the southern gate. Its corresponding star has changed many times throughout history.",Chinese,see ASE,12/25/2025
Shangcheng,997,HR 932,14862,,Shangcheng,Cas,"Shàng Chéng (The Great Imperial Minister, ??) and Shào Chéng (The Second Imperial Minister, ??) are the two stars located to the left and right of the northern gate of the Z? G?ng (Purple Palace) / Z?w?i Yuán (Purple Enclosure).",Chinese,see ASE,12/25/2025
Shaowei,1234,,17959,gam Cam,Shaowei,Cam,"Shào Wèi (The Second Imperial Guard, ??) is the sixth star on the right wall of the Z? G?ng (Purple Palace, ??) or Z?w?i Yuán (Purple Forbidden Enclosure), counting northward from the southern gate. Although its identification has varied across historical sources, all recorded versions consistently place it within the modern constellation Camelopardalis.",Chinese,see ASE,12/25/2025
