name,nomenclature,gaia_dr3_id,ra_deg,dec_deg,pmra_mas_yr,pmdec_mas_yr,parallax_mas,magnitude_v,color_index,ecl_lon_deg,ecl_lat_deg,arc_vis_deg,lat_limit_deg
Krios,HD 240429,0,357.97928608027,59.71350023765,89.332,-29.319,9.7559,9.699999809265137,0.5799999237060547,32.98899558340897,53.066423708010895,21.639999771118163,30.286499762349997
Kronos,HD 240430,0,358.0385140665,59.70736699702999,88.949,-29.373,9.7353,9.5600004196167,0.5999994277954102,33.019523862036415,53.04206581316705,21.472000503540038,30.292633002970007
Pherkad Minor,11 UMi,0,229.27453943029997,71.82390203802,4.073,9.477,7.926,5.014999866485596,1.36899995803833,141.64716348823592,74.95819218999688,16.017999839782714,18.176097961980005
Ping,eps Lep,0,76.36526836354416,-22.371034487030837,24.049,-74.951,15.5999,3.180000066757202,1.4599997997283936,72.05560849818727,-44.96459813966313,13.816000080108642,67.62896551296916
Bade,mu. Lep,0,78.23292901709,-16.205463499750003,42.803,-16.017,19.1775,3.2899999618530273,-0.1099998950958252,75.39432923644975,-39.049994179277554,13.947999954223633,73.79453650024999
Darlugal,zet Lep,0,86.73892235277415,-14.82195015846389,-14.203,-0.776,44.794,3.5250000953674316,0.1119999885559082,85.98638350799254,-38.21580598822394,14.230000114440918,75.17804984153611
Gaja,tau Tau,0,70.56124685498,22.95690281483,3.181,-17.028,8.231,4.257999897003174,-0.11999988555908203,72.15369882748087,0.7138884529708776,15.10959987640381,67.04309718517
Naga,gam Hya,0,199.73040703832623,-23.171514006915,67.956,-44.299,25.5286,3.0,0.9200000762939453,207.01829475772982,-13.742617097194135,13.6,66.828485993085
Yuyu,iot Cnc,0,131.67425181855,28.759893136039995,-22.07,-43.699,9.4124,4.01800012588501,0.9779996871948242,126.34613338375775,10.426501366174723,14.821600151062011,61.24010686396001
Lumbung,39 Cru,0,190.48570492647,-59.68582067903,-24.464,-4.226,3.8643,4.940000057220459,-0.03000020980834961,220.75114083115605,-49.06876624954022,15.92800006866455,30.31417932097
Tonglingxing,HD  49878,0,105.01682160210918,76.97740862475611,72.948,-13.442,17.0753,4.539999961853027,1.375999927520752,95.67795867048483,53.83427897324682,15.447999954223633,13.022591375243891
Shangwei,HD  42818,0,94.71157297372875,69.31981423597666,1.816,-118.495,18.3472,4.756999969482422,0.013000011444091797,92.3898012921476,45.91961715084742,15.708399963378906,20.680185764023335
Shangcheng,HD  19275,0,47.98445484034,74.39365830223,14.158,-86.811,19.6409,4.834000110626221,0.043999671936035156,72.36645330970534,53.52832046740636,15.800800132751466,15.606341697770006
Shaowei,gam Cam,0,57.58962223085542,71.33226610659722,18.435,-41.956,8.4446,4.604000091552734,0.051000118255615234,74.64561862331217,49.61662538465028,15.524800109863282,18.667733893402783
Kamelos,HD  45866,0,100.12032089396,77.99578274666,13.997,-5.701,4.4952,5.71999979019165,1.499000072479248,93.62459351272304,54.683883396835704,16.86399974822998,12.004217253340002
Custos,VBE Cam,0,57.38032311777,65.52597939514,0.319,-15.593,3.3288,4.480000019073486,1.880000114440918,71.87329486626795,44.12669736424754,15.376000022888183,24.47402060486
Huagai,iot Cas,0,37.26644916209381,67.40247693141559,-26.61,38.21,24.55,0.0,0.0,62.228909608646845,48.98093679413245,10.0,22.597523068584408
Gang,50 Cas,0,30.858785166533742,72.42129411554222,-43.842,22.548,20.8391,3.937999963760376,0.015000104904174805,63.5585718818932,54.391896632013164,14.72559995651245,17.578705884457776
Rangifer,49 Cas,0,31.381458884050005,76.11506012484,-11.813,-20.561,7.7763,5.21999979019165,0.9500002861022949,67.7514563656008,57.242265426427664,16.26399974822998,13.88493987516
Tarandus,2 UMi,0,17.1869943146575,86.25709066820444,80.457,-10.542,10.8034,4.224999904632568,1.2340002059936523,81.44617248478964,65.21021144643157,15.069999885559081,3.742909331795559
Sarvvis,del Per,0,55.73122001957376,47.787496738188054,29.038,-23.365,6.2435,3.009999990463257,-0.11999988555908203,64.80202043341008,27.301706251419496,13.611999988555908,42.212503261811946
Áldu,eps Per,0,59.463497424225004,40.01019978155972,16.845,-23.554,5.3316,2.890000104904175,-0.18000006675720215,65.67781637428368,19.11455060761508,13.468000125885009,49.98980021844028
Cexing,kap Cas,0,8.249966181752502,62.93178142392444,3.126,-1.835,1.0644,4.159999847412109,0.1400003433227539,42.600280600688194,52.280254228337995,14.99199981689453,27.06821857607556
Tiansi,gam Cas,0,14.17721289375,60.71674002472222,25.17,-3.92,5.94,2.390000104904175,-0.10000014305114746,43.931132359089595,48.81490525732187,12.86800012588501,29.28325997527778
Bagu,del Aur,0,89.881743414146,54.2847379628627,85.814,-142.928,23.0557,3.7200000286102295,1.0099999904632568,89.919593621648,30.84549152961398,14.464000034332276,35.7152620371373
Apdu,gam Tri,0,34.32861363899208,33.84719681816611,45.253,-52.685,27.9795,4.0,0.019999980926513672,43.51809885422814,18.948255235316203,14.8,56.15280318183389
Alaybasan,bet Tri,0,32.38594634196055,34.98729706469149,149.16,-39.1,25.71,3.0,0.1400001049041748,42.35257504970994,20.580692198187688,13.6,55.01270293530851
Shengong,HD 153072,0,254.7177802592786,-37.6204928509059,9.09,-38.37,9.1462,6.047999858856201,0.1830000877380371,257.52734790970953,-14.840584840344555,17.25759983062744,52.3795071490941
Apamvatsa,l Vir,0,202.99118605499538,-6.255817660835833,-103.703,-45.392,6.9499,4.690000057220459,1.5999999046325684,203.58842302482054,3.122235703996792,15.628000068664551,83.74418233916417
Blaze Star,VT CrB,0,239.87567594413002,25.92017038415,-4.461,12.016,1.092,10.246999740600586,1.2690000534057617,230.10014285896844,45.274847718786084,22.296399688720705,64.07982961585
Shatabhisha,lam Aqr,0,343.15364185224,-7.57959692371,14.964,32.742,8.936,3.7899999618530273,1.6500000953674316,341.5761372475395,-0.3866347079127514,14.547999954223632,82.42040307629
Junnanmen,phi And,0,17.37552339943203,47.241794288193404,4.05,-12.43,4.55,4.25,-0.07000017166137695,36.42173059458476,36.369602701202496,15.1,42.758205711806596
Dajiangjunbei,phi Per,0,25.915158204820003,50.688731423610555,24.713,-13.938,5.4048,4.059999942779541,-0.039999961853027344,44.593515352203234,36.8508582822858,14.871999931335449,39.311268576389445
Hydor,2 Cet,0,0.9349492958375001,-17.335991442864444,25.363,-8.987,10.5075,4.535999774932861,-0.05299997329711914,353.76733291949364,-16.235265570241953,15.443199729919433,72.66400855713556
Triminus,iot Tri,0,33.09283344086611,30.30306751098826,-65.05,-60.5,11.22,4.952000141143799,0.7890000343322754,41.19946684867814,15.987445005127748,15.942400169372558,59.69693248901174
Deltoton,del Tri,0,34.26345974490126,34.22423205104722,1151.935,-246.605,91.6504,0.0,0.0,43.603334060282315,19.32052701725605,10.0,55.77576794895278
